"0.001","D","Konsultation, erste 5 Min. (Grundkonsultation)","Beinhaltet alle ärztlichen Leistungen, die der Facharzt in seiner Praxis oder der Arzt bei ambulanten Patienten im Spital ohne oder mit einfachen Hilfsmitteln (etwa Inhalt 'Besuchskoffer') am Patienten hinsichtlich der Beschwerden und Erscheinungen erbringt, derentwegen dieser zum Facharzt kommt, bzw. gebracht wird und hinsichtlich der Beschwerden und Erscheinungen, die während der gleichen Behandlungsdauer auftreten.  Beinhaltet Begrüssung, Verabschiedung, nicht besonders tarifierte Besprechungen und Untersuchungen, nicht besonders tarifierte Verrichtungen (z.B.: bestimmte Injektionen, Verbände usw.), Begleitung zu und Übergabe (inkl. Anordnungen) an Hilfspersonal betreffend Administration, technische und kurative Leistungen, Medikamentenabgabe (in Notfallsituation u/o als Starterabgabe), auf Konsultation bezogene unmittelbar vorgängige/anschliessende Akteneinsicht/Akteneinträge.","","2001-01-01","2199-12-31","2001-11-08"
"0.0015","D","=+ Zuschlag für hausärztliche Leistungen in der Arztpraxis","Darf nur im Zusammenhang mit der Erbringung von hausärztlichen Leistungen abgerechnet werden und wenn dem Patienten am selben Tag keine spezialärztlichen Leistungen durch den gleichen Leistungserbringer verrechnet werden.  Darf nicht von ambulanten Diensten von Spitälern abgerechnet werden.","","2014-10-01","2199-12-31","2014-07-01"
"0.002","D","+ Konsultation, jede weiteren 5 Min. (Konsultationszuschlag)","","","2001-01-01","2199-12-31","2001-11-08"
"0.003","D","+ Konsultation, letzte 5 Min. (Konsultationszuschlag)","","","2001-01-01","2199-12-31","2001-11-08"
"0.004","D","+ Zuschlag für Kinder unter 6 Jahren","","","2001-01-01","2199-12-31","2001-11-08"
"0.005","D","Vorbesprechung diagnostischer/therapeutischer Eingriffe mit Patienten/Angehörigen durch den Facharzt, pro 5 Min.","Besprechen und erklären geplanter Eingriffe (Ablauf, Chancen und Risiken) inkl. adäquater Dokumentation der erfolgten Patienteninformation.","","2001-01-01","2199-12-31","2001-11-08"
"0.006","D","Besuch, erste 5 Min. (Grundbesuch)","Beinhaltet alle ärztlichen Leistungen, die der Facharzt ausserhalb seiner Praxis ohne oder mit einfachen Hilfsmitteln (etwa Inhalt 'Besuchskoffer') am Patienten hinsichtlich der Beschwerden und Erscheinungen erbringt, derentwegen dieser zum Facharzt kommt, bzw. gebracht wird und hinsichtlich der Beschwerden und Erscheinungen, die während der gleichen Behandlungsdauer auftreten.  Gilt für alle Arten von Besuchen (zuhause, an der Unfallstelle usw.), ausgenommen sind Behandlungen im Spital (ambulante und/oder stationäre Patienten), siehe Kapitel [00.01.02].  Der Weg von der Praxis zum Patienten und zurück ist Gegenstand der Tarifposition Wegentschädigung (00.0090).  Die für den Besuch massgebende Zeit beginnt beim Eintreffen des Facharztes beim Patienten.","","2001-01-01","2007-03-31","2007-01-08"
"0.006","D","Besuch, erste 5 Min. (Grundbesuch)","Beinhaltet alle ärztlichen Leistungen, die der Facharzt ausserhalb seiner Praxis ohne oder mit einfachen Hilfsmitteln (etwa Inhalt 'Besuchskoffer') am Patienten hinsichtlich der Beschwerden und Erscheinungen erbringt, derentwegen dieser zum Facharzt kommt, bzw. gebracht wird und hinsichtlich der Beschwerden und Erscheinungen, die während der gleichen Behandlungsdauer auftreten.  Gilt für alle Arten von Besuchen (zuhause, an der Unfallstelle usw.), ausgenommen sind Behandlungen im Spital (ambulante und/oder stationäre Patienten), siehe Kapitel [00.01.02].  Der Weg von der Praxis zum Patienten und zurück ist Gegenstand der Tarifposition Wegentschädigung (00.0095).  Die für den Besuch massgebende Zeit beginnt beim Eintreffen des Facharztes beim Patienten.","","2007-04-01","2199-12-31","2007-01-08"
"0.0065","D","+ Besuchs-Inkonvenienzpauschale Mo-Fr 7-19, Sa 7-12","Nicht anwendbar bei geplanten Heimvisiten (Routinekontrolle in Heimen, ohne besonderen Aufwand wie Abklärungen oder Behandlungen) mehrerer Patienten im gleichen Heim.  Diese Tarifposition gilt bis 31. Dezember 2010.","","2009-03-01","2012-05-31","2011-09-01"
"0.007","D","+ Besuch, jede weiteren 5 Min. (Besuchszuschlag)","","","2001-01-01","2199-12-31","2001-11-08"
