ViiV Healthcare GmbH,,1699947.0,16577.0,53662013.0,,35139.0,"3TC, Filmtabl 150 mg, 60 Stk",164.55,205.3,,,,Lamivudinum,12442.0,N,7680536620137.0
ViiV Healthcare GmbH,,2619287.0,16577.0,53662021.0,,38292.0,"3TC, Filmtabl 300 mg, 30 Stk",164.55,205.3,,,,Lamivudinum,14569.0,N,7680536620212.0
ViiV Healthcare GmbH,,2050172.0,16578.0,53663036.0,,35139.0,"3TC, Trink Lös 10 mg/ml o alkohol, 240 ml",50.73,74.65,,,,Lamivudinum,12443.0,N,7680536630365.0
Farmaceutica Teofarma Suisse SA c/o Bernasconi Peter Gaggini,,2105447.0,647.0,14825037.0,,36234.0,"A.T. 10, Lös, 30 ml",47.15,70.55,,,,Dihydrotachysterolum,7.0,N,7680148250371.0
Otsuka Pharmaceutical (Switzerland) GmbH,,3038546.0,17965.0,56209002.0,,38687.0,"Abilify, Tabl 5 mg, 28 Stk",125.39,160.35,,,,Aripiprazolum,15384.0,N,7680562090027.0
Otsuka Pharmaceutical (Switzerland) GmbH,,2801684.0,17965.0,56209004.0,,38200.0,"Abilify, Tabl 10 mg, 28 Stk",136.53,173.15,,,,Aripiprazolum,14125.0,N,7680562090041.0
Otsuka Pharmaceutical (Switzerland) GmbH,,2801715.0,17965.0,56209016.0,,38169.0,"Abilify, Tabl 15 mg, 28 Stk",151.75,190.6,,,,Aripiprazolum,14127.0,N,7680562090164.0
Otsuka Pharmaceutical (Switzerland) GmbH,,2859608.0,17965.0,56209024.0,,38322.0,"Abilify, Tabl 30 mg, 28 Stk",273.15,330.0,,,,Aripiprazolum,14576.0,N,7680562090249.0
Otsuka Pharmaceutical (Switzerland) GmbH,,3214210.0,18361.0,57348007.0,,39326.0,"Abilify, Schmelztabl 10 mg, 28 Stk",136.53,173.15,,,,Aripiprazolum,15538.0,N,7680573480077.0
Otsuka Pharmaceutical (Switzerland) GmbH,,3214204.0,18361.0,57348011.0,,39326.0,"Abilify, Schmelztabl 15 mg, 28 Stk",151.75,190.6,,,,Aripiprazolum,15539.0,N,7680573480114.0
Otsuka Pharmaceutical (Switzerland) GmbH,,4353853.0,19044.0,57831002.0,,40299.0,"Abilify, Sirup 1 mg/ml, 150 ml",168.6,209.95,,,,Aripiprazolum,25080.0,N,7680578310027.0
Lundbeck (Schweiz) AG,,6012317.0,20241.0,63177001.0,,41913.0,"Abilify Maintena Depot, Inj Susp 300 mg, Inj kit 1 Stk",405.87,482.35,,,,Aripiprazolum,33777.0,N,7680631770010.0
Lundbeck (Schweiz) AG,,6012323.0,20241.0,63177002.0,,41913.0,"Abilify Maintena Depot, Inj Susp 400 mg, Inj kit 1 Stk",405.87,482.35,,,,Aripiprazolum,33778.0,N,7680631770027.0
Salmon Pharma GmbH,,4442195.0,19117.0,59059001.0,,40238.0,"Abseamed, Inj Lös 1000 IE/0.5ml, 6 Fertigspr 0.500 ml",67.32,93.7,,,,Epoetinum alfa ADNr,25510.0,N,7680590590018.0
Salmon Pharma GmbH,,4442203.0,19117.0,59059002.0,,40238.0,"Abseamed, Inj Lös 2000 IE/ml, 6 Fertigspr 1 ml",134.41,170.7,,,,Epoetinum alfa ADNr,25511.0,N,7680590590025.0
Salmon Pharma GmbH,,4442226.0,19117.0,59059003.0,,40238.0,"Abseamed, Inj Lös 3000 IE/0.3ml, 6 Fertigspr 0.300 ml",201.51,247.75,,,,Epoetinum alfa ADNr,25512.0,N,7680590590032.0
Salmon Pharma GmbH,,4442232.0,19117.0,59059004.0,,40238.0,"Abseamed, Inj Lös 4000 IE/0.4ml, 6 Fertigspr 0.400 ml",268.41,324.55,,,,Epoetinum alfa ADNr,25513.0,N,7680590590049.0
Salmon Pharma GmbH,,4442249.0,19117.0,59059005.0,,40238.0,"Abseamed, Inj Lös 5000 IE/0.5ml, 6 Fertigspr 0.500 ml",335.81,401.9,,,,Epoetinum alfa ADNr,25514.0,N,7680590590056.0
Salmon Pharma GmbH,,4442255.0,19117.0,59059006.0,,40238.0,"Abseamed, Inj Lös 6000 IE/0.6ml, 6 Fertigspr 0.600 ml",402.62,478.6,,,,Epoetinum alfa ADNr,25515.0,N,7680590590063.0
Salmon Pharma GmbH,,4442278.0,19117.0,59059008.0,,40238.0,"Abseamed, Inj Lös 8000 IE/0.8ml, 6 Fertigspr 0.800 ml",536.23,632.0,,,,Epoetinum alfa ADNr,25517.0,N,7680590590087.0
Salmon Pharma GmbH,,4442290.0,19117.0,59059010.0,,40238.0,"Abseamed, Inj Lös 10000 IE/ml, 6 Fertigspr 1 ml",670.93,786.65,,,,Epoetinum alfa ADNr,25519.0,N,7680590590100.0
Pro Concepta Zug AG,,4151428.0,18814.0,58142014.0,,40087.0,"Abstral, Subling Tabl 100 mcg, 10 Stk",84.5897,113.5,,,,Fentanylum,24195.0,N,7680581420140.0
Pro Concepta Zug AG,,4151434.0,18814.0,58142003.0,,40087.0,"Abstral, Subling Tabl 100 mcg, 30 Stk",215.6981,264.0,,,,Fentanylum,24196.0,N,7680581420034.0
Pro Concepta Zug AG,,4151440.0,18814.0,58142015.0,,40087.0,"Abstral, Subling Tabl 200 mcg, 10 Stk",84.5897,113.5,,,,Fentanylum,24197.0,N,7680581420157.0
Pro Concepta Zug AG,,4151492.0,18814.0,58142005.0,,40087.0,"Abstral, Subling Tabl 200 mcg, 30 Stk",215.6981,264.0,,,,Fentanylum,24198.0,N,7680581420058.0
Pro Concepta Zug AG,,4151500.0,18814.0,58142007.0,,40087.0,"Abstral, Subling Tabl 300 mcg, 30 Stk",215.6981,264.0,,,,Fentanylum,24199.0,N,7680581420072.0
Pro Concepta Zug AG,,4151523.0,18814.0,58142009.0,,40087.0,"Abstral, Subling Tabl 400 mcg, 30 Stk",215.6981,264.0,,,,Fentanylum,24200.0,N,7680581420096.0
Pro Concepta Zug AG,,4151552.0,18814.0,58142011.0,,40087.0,"Abstral, Subling Tabl 600 mcg, 30 Stk",215.6981,264.0,,,,Fentanylum,24201.0,N,7680581420119.0
Pro Concepta Zug AG,,4151575.0,18814.0,58142013.0,,40087.0,"Abstral, Subling Tabl 800 mcg, 30 Stk",215.6981,264.0,,,,Fentanylum,24202.0,N,7680581420133.0
AstraZeneca AG,,1963657.0,17053.0,53750036.0,,35869.0,"Accolate, Tabl 20 mg, 60 Stk",29.75,50.55,,,,Zafirlukastum,21.0,N,7680537500360.0
GE Healthcare AG,,3026336.0,17827.0,54637136.0,,39904.0,"Accupaque, Inj Lös 300 mg, Plast Fl 50 ml",32.0,53.1,,,,Iohexolum,22074.0,N,7680546371364.0
GE Healthcare AG,,3026359.0,17827.0,54637152.0,,39904.0,"Accupaque, Inj Lös 300 mg, Plast Fl 100 ml",61.15,86.6,,,,Iohexolum,22076.0,N,7680546371524.0
GE Healthcare AG,,3026371.0,17827.0,54637168.0,,39904.0,"Accupaque, Inj Lös 300 mg, Plast Fl 200 ml",120.6,154.85,,,,Iohexolum,22078.0,N,7680546371685.0
GE Healthcare AG,,3026460.0,17827.0,54637200.0,,38687.0,"Accupaque, Inj Lös 350 mg, Plast Fl 50 ml",33.97,55.35,,,,Iohexolum,15385.0,N,7680546372002.0
GE Healthcare AG,,3026514.0,17827.0,54637216.0,,38687.0,"Accupaque, Inj Lös 350 mg, Plast Fl 100 ml",66.88,93.2,,,,Iohexolum,15386.0,N,7680546372163.0
